Reviewer,Date,Review,English Review
Hendra Halim,3 weeks ago,"The Nasi Lemak Egg + Fried Beef Lung is delicious.  Recommended.  If you visit Kuala Lumpur, make time to stop for dinner at Nasi Lemak Wanjo in Kampung Baru.","The Nasi Lemak Egg + Fried Beef Lung is delicious.  Recommended.  If you visit Kuala Lumpur, make time to stop for dinner at Nasi Lemak Wanjo in Kampung Baru."
Lynn Kas,a month ago,Wanjo Kampung Bharu is specialized in Nasi Lemak. They have a large variety to choose from and the staff is very helpful in explaining the various options. Ã¢â¬Â¦,Wanjo Kampung Bharu is specialized in Nasi Lemak. They have a large variety to choose from and the staff is very helpful in explaining the various options. Ã¢â¬Â¦
Reardon Matt,4 months ago,Love the food and smoothies here! Went there two times. The avocado and chocolate smoothie (9MYR) is tasty and filling.Asked the locals to recommend me a variation of Nasi Lemak plate. Whatever she Ã¢â¬Â¦,Love the food and smoothies here! Went there two times. The avocado and chocolate smoothie (9MYR) is tasty and filling.
Muhammad Albakri,a month ago,"Located at Kampung baru, lots of people need to que, can select from whole bunch of dishes, nasi lemak sangatlah sikit, small portion, ayam goreng good, sambal sotong and sambal nasi lemak was nice, if want to eat there with better Ã¢â¬Â¦","Located at Kampung baru, lots of people need to que, can select from whole bunch of dishes, nasi lemak is small portion, ayam goreng good, sambal sotong and sambal nasi lemak was nice"
Aaron Lee,a month ago,Average Nasi lemak. They attract quite a crowd and IÃ¢â¬â¢ve heard good things about them. Went to try it and just felt the taste and all were just okay. Can get equal or better tasting ones elsewhere.,Average Nasi lemak. They attract quite a crowd and I have heard good things about them. Went to try it and just felt the taste and all were just okay. Can get equal or better tasting ones elsewhere.
RSB AL,a month ago,Nasi lemak sikit je tapi condiment je banyak..mcm takpuas makan tambah nasi lemak kosong ..dengan ayam goreng dan rendang ayam sedap..harga tak berapa sesuai  la dgn makanan yg diberi anyway ok to try,Nasi lemak is a little portion but there is a lot of condiments.. I'm not satisfied with plain nasi lemak.. with fried chicken and chicken rendang is delicious.. the price doesn't match the food given anyway ok to try
Kelly Phang,5 months ago,"The queue is long but they work quite fast. Waiting time is short.As for the food, it's one of the best nasi lemak I've had, except that the fried chicken was a bit dry. Ã¢â¬Â¦","The queue is long but they work quite fast. Waiting time is short.As for the food, it's one of the best nasi lemak I've had, except that the fried chicken was a bit dry. Ã¢â¬Â¦"
Suzu Raini,a week ago,"Restaurant is bright, looks welcoming.Food is alright. Sambal is a lil bit sweet. Always get the begedil & lauk limpa here.","Restaurant is bright, looks welcoming.Food is alright. Sambal is a little bit sweet. Always get the begedil & lauk limpa here."
Mr. R,3 months ago,"It's delicious, but not mind-blowing. However, the portion size is adequate as the rice isn't too much. Unfortunately, the price is a bit expensive, perhaps due to its location in a tourist area. When dining here, there's no need to order drinks as they provide a complimentary water dispenser. The Ayam Masak Merah is tasty and tender!","It's delicious, but not mind-blowing. However, the portion size is adequate as the rice isn't too much. Unfortunately, the price is a bit expensive, perhaps due to its location in a tourist area. When dining here, there's no need to order drinks as they provide a complimentary water dispenser. The Ayam Masak Merah is tasty and tender!"
CY Lee,5 months ago,"The crowd keep coming in...look like the queue just keep going ...many varieties, food not bad, sambal is slightly sweet and not hot. Paru is nice, sotong also ok. Mango smoothie is good, orange juice just normal. Need to pay RM1 to sit in air-cond room. Nowadays, nasi lemak also not cheap...quite pricey.","The crowd keep coming in...look like the queue just keep going ...many varieties, food not bad, sambal is slightly sweet and not hot. Paru is nice, sotong also ok. Mango smoothie is good, orange juice just normal. Need to pay RM1 to sit in air-cond room. Nowadays, nasi lemak also not cheap...quite pricey."
Nik Muhammad Izzudin Nik Lah,a week ago,Tempat makan selesa. Aroma nasi agak unik. Pilihan lauk yang banyak. Harga jangan citer...,Comfortable dining area.The aroma of rice is quite unique.A lot of side dishes.Pricey
Suhana S,4 months ago,Nasi lemak is good. Lauk sedap. Sambal agak manis. Pilihan lauk need more varities. Great family place but not during peak hours. I super love the mango smoothies. Pricing for nasi lemak is on the high side but for smoothies its great value.,"Nasi lemak is good. The side dishes are tasty. The sambal is somewhat sweet. There should be more variety in the choice of side dishes. It's a great family place, but not during peak hours. I super love the mango smoothies. The pricing for nasi lemak is on the high side, but for smoothies, it's great value"
Fatynanana,3 months ago,So we arrived around 10.30am. The queue was long but moves very fast. 100 for the service. We really love their rendang daging and sambal kerang. The freshly made avocado + mango smoothies were really good too! Parking was quite hard to Ã¢â¬Â¦,So we arrived around 10.30am. The queue was long but moves very fast. 100 for the service. We really love their rendang daging and sambal kerang. The freshly made avocado + mango smoothies were really good too! Parking was quite hard to find Ã¢â¬Â¦
Fernan Mascarinas,4 months ago,"If you want good, affordable, Malaysian Food, you have come to the right place.After walking for at least 25 minutes from where I stay, I found this gem of a Ã¢â¬Â¦","If you want good, affordable, Malaysian Food, you have come to the right place.After walking for at least 25 minutes from where I stay, I found this great Nasi Lemak Ã¢â¬Â¦"
Iman Marissa,5 months ago,"Nasi dia sedap. Boleh rasa lemak. Tp sambal biasa2 je. Mcm kurang masak pun ye. Paru sedap, ayam goreng berempah tu ok ok je. Sambal sotong pn ok ok je. Total makanan kitorang ni without air RM24.70. A bit overpriced utk rasa ok ok tu. Overall 3/5.","The rice is delicious. You can taste the richness, but the sambal is just average. It seems a bit undercooked. The lungs are tasty, and the fried spiced chicken is okay. The squid sambal is also just okay. The total cost of our food, without drinks, is RM24.70. It's a bit overpriced for an okay taste. Overall, 3 out of 5"
Baibranizam Brahim,2 months ago,"For all Food Hunter or Food Lovers. Here is the perfect place to taste ""Taste of Malaysia's Nasi Lemak"". A bit expensive but worth the money you spent.","For all Food Hunter or Food Lovers. Here is the perfect place to taste ""Taste of Malaysia's Nasi Lemak"". A bit expensive but worth the money you spent."
Soraya Yahya,5 months ago,"IÃ¢â¬â¢d have to say nasi lemak angah is still my top nasi lemak. This is my first time in this infamous place but I have it a four because of how organised and how clean this place is, you can also park your car in front for a modest fee of rm5 Ã¢â¬Â¦","I had have to say nasi lemak angah is still my top nasi lemak. This is my first time in this infamous place but I have it a four because of how organised and how clean this place is, you can also park your car in front for rm5 Ã¢â¬Â¦"
Aaron Leong,2 months ago,"Reasonable price, big shop with lots of tables. Really busy place especially the Saturday night 9pm I went.The line moved very quick, the sambal was delicious and so was the chicken. The Ã¢â¬Â¦","Reasonable price, big shop with lots of tables. Really busy place especially the Saturday night 9pm I went.The line moved very quick, the sambal was delicious and so was the chicken. The Ã¢â¬Â¦"
rizz2203,a month ago,"1st time dtg sini utk breakfast 9am hari weekday ok tak terlalu ramai org...lauk byk.saya order nasi lemak lauk kerang sambal , ayam msk merah...kerang nye pedas Ã¢â¬Â¦","First time coming here for breakfast at 9 am on a weekday, it's okay, not too crowded. There are many dishes. I ordered nasi lemak with cockle sambal and red-cooked chicken. The cockle sambal is spicy."
Elyna Shakira,3 months ago,"Nasi lembut dimasak cantik, wangi & berasa lemak santan. Sambal kerang sedap cuma sedikit masin . Portion banyak. Kedai femes kan, harga pun agak kencang. Service laju, kedai bersih . Overall nice Ã°Å¸âÂ Ã¢â¬Â¦","The rice is cooked beautifully, fragrant, and has a rich coconut milk flavor. The cockle sambal is delicious but slightly salty. The portion is generous. The shop is famous, and the prices are a bit on the high side. The service is fast, and the shop is clean. Overall, it's nice! ??"
zilleon,5 months ago,"For RM29.40, I got 2 nasi lemak ayam, a tempe, ice Milo and coffee. This store gone viral and my wife thought that the food must be good. Well, I think it's over hyped. I went to it today. The rice tasted more like ordinary rice rather than Ã¢â¬Â¦","For RM29.40, I got 2 nasi lemak ayam, a tempe, ice Milo and coffee. This store gone viral and my wife thought that the food must be good. Well, I think it's over hyped. I went to it today. The rice tasted more like ordinary rice rather than nasi lemak Ã¢â¬Â¦"
rahima hamid,3 weeks ago,Ni 1st time dpt makan kat sini selama ni x dpt g sbb setiap kali pergi xde parking.. alhamdulillah mlm td ada lah parking berdekatan.. so gagahkan jugalah.. berbaloi pergi..,"This is the first time I got to eat here. Until now, I couldn't go because every time I went, there was no parking. Tonight there was nearby parking, so I dared to go. It was worth it."""
Farrell Tan,a month ago,"One of the better places for nasi lemak in the city. Access to it is made easier with the lrt, and you can also check out the Saloma tunnel after dinner, which overlooks the Twin Towers. Great for tourists.","One of the better places for nasi lemak in the city. Access to it is made easier with the lrt, and you can also check out the Saloma tunnel after dinner, which overlooks the Twin Towers. Great for tourists."
Han Hui Teoh,3 weeks ago,"Do you enjoy eating in a sauna? Because this is what it feels like. The whole place has absolutely horrendous airflow. It's clear that there was no consideration for ventilation when the structure was built. No roof ventilators, no air circulator, no air coolers, only small fans mounted on the ceiling.","Do you enjoy eating in a sauna? Because this is what it feels like. The whole place has absolutely horrendous airflow. It's clear that there was no consideration for ventilation when the structure was built. No roof ventilators, no air circulator, no air coolers, only small fans mounted on the ceiling."
Miss Ah_Ya,3 months ago,Ã¢Åâ¦Nasi lemak sambal okay ada pedas manis balance.jus tembikai okay tpi still agak manis sedikit.ayam goreng berempah sedap Ã¢â¬Â¦,Nasi lemak with sambal is good; it has a balanced sweet and spicy taste. The watermelon juice is okay but still a bit sweet. The spiced fried chicken is tasty.
Nick,4 months ago,"Dekat sini saya ambil nasi lemak tambah ayam rendang complete sambal, kacang, and ikan bilis semua RM11. 90, memang sedap.","I ordered nasi lemak here with additional chicken rendang, complete with sambal, peanuts, and anchovies, all for RM11.90. It's really delicious"
Alex P'ng,2 months ago,Sauces are good. Sambal was spicy and flavorful. There is a Coway water dispenser if you don't fancy any drinks. Tables are cleared very quickly and systematically. Place has very good ventilation and seating places. The fried chicken can be better. Rendang chicken is memang sedap!!! Fruit juices seem reasonably priced.,Sauces are good. Sambal was spicy and flavorful. There is a Coway water dispenser if you don't fancy any drinks. Tables are cleared very quickly and systematically. Place has very good ventilation and seating places. The fried chicken can be better. Rendang chicken very delicious!!! Fruit juices seem reasonably priced.
Muhammad Fahmi Abdul Aziz,4 months ago,Very good place to get Malaysian Nasi Lemak.. Plenty of dishes available to choose with the Nasi Lemak.. QR code is now accepted.. Ã¢â¬Â¦,Very good place to get Malaysian Nasi Lemak.. Plenty of dishes available to choose with the Nasi Lemak.. QR code is now accepted.. Ã¢â¬Â¦
Hey Zahim,a week ago,"Semua ok. Layanan pun baik. Bagus nya ada pilihan, kalau x nak bayau rm 1 utk duduk air cond, boleh duduk luar. Apa2 pun yg penting bersih Ã°Å¸âÂÃ°Å¸ÂÂ» teratur Ã¢ÅÂ¨Ã¯Â¸Â Ã¢â¬Â¦","It's all ok.The service is good.It's good to have a choice, if dont want pay for RM 1 to sit in the air cond, you can sit outside.The important is the place is clean."
Hoang Vo,3 months ago,"The third time coming back to show my friends from Vietnam their nasi lemakThey have ayam goreng, ayam rendang, beef rendang, seafoodÃ¢â¬Â¦ all tastes so so good.And the fresh juice shop is just as good as they have been.Affordable price and authentic tasteI hope more foreigners know about Kampung Baru and can try the real Malaysian food here","The third time I came back to introduce my friends from Vietnam to nasi lemak. They have ayam goreng, ayam rendang, beef rendang, seafood... all taste so good. The fresh juice shop is just as excellent as it has always been. Affordable prices and authentic taste. I hope more foreigners get to know about Kampung Baru and can try the real Malaysian food here."
Foodiefam Stories,4 months ago,"Nasi Lemak Wanjo is a renowned restaurant in Kuala Lumpur, Malaysia that specializes in the dish known as nasi lemak, a popular Malaysian dish that is considered a national favorite. Ã¢â¬Â¦","Nasi Lemak Wanjo is a renowned restaurant in Kuala Lumpur, Malaysia that specializes in the dish known as nasi lemak, a popular Malaysian dish that is considered a national favorite. Ã¢â¬Â¦"
Ernie Goh,3 months ago,Was recommended by a Malaysian friend who told me about this place when I mentioned Village Park nasi lemak (a popular haunt for Singaporeans). Food did not disappoint. The rice was less flavorful that Village Park but the other dishes were pretty flavorful. Sambal was sweet and rich - love it! A little on the pricier side though,Was recommended by a Malaysian friend who told me about this place when I mentioned Village Park nasi lemak (a popular haunt for Singaporeans). Food did not disappoint. The rice was less flavorful that Village Park but the other dishes were pretty flavorful. Sambal was sweet and rich - love it! A little on the pricier side though
Ryan Wong,2 months ago,"Absolutely superb nasi lemak. Pure and original taste, super decadent flavours. I ordered the chicken renang, and it was awesome!! great blend of spice and flavour! Ã¢â¬Â¦","Absolutely superb nasi lemak. Pure and original taste, super decadent flavours. I ordered the chicken rendang, and it was awesome!! great blend of spice and flavour! Ã¢â¬Â¦"
Vincent Lim,5 months ago,"Very popular place, it seems.  I tried the Nasi Lemak Ayam Rendang.  The chicken is very tender and tasty. My American friend tried the Nasi Lemak Daging Rendang a d the beef is very tender and done well .... not chewy at all. All in all, a good place for food.","Very popular place, it seems.  I tried the Nasi Lemak Ayam Rendang.  The chicken is very tender and tasty. My American friend tried the Nasi Lemak Daging Rendang and the beef is very tender and done well .... not chewy at all. A good place for food."
SD D.,a month ago,Have both aircon n non-aurcon sheltered dining area. Very clean. Double wow! for their nasi lemak. Dishes and side dishes have good balanced flavors. Must try food in KL. Ã¢â¬Â¦,Have both aircond and non-aircond sheltered dining area. Very clean. Double wow! for their nasi lemak. Dishes and side dishes have good balanced flavors. Must try food in KL. Ã¢â¬Â¦
Andre Tee,a week ago,Beautiful food here had a great experience here with the family. The venue is clean and very organised.,Beautiful food here had a great experience here with the family. The venue is clean and very organised.
dzulph,3 months ago,Fast service. Good food. Nasi lemak sedap that you can find in KL. If got more choices that would be great.,Fast service. Good food. Nasi lemak is delicious you can find it in KL. If got more choices that would be great.
ira Eira,a month ago,nasi lemak sedap.. pagi2 xthu nk mkn apa leh terjah mkn sni.. kyg smpai ke ptg sbb portoin nasi dia bnyak,"The nasi lemak is delicious. In the morning, when I don't know what to eat, I can come here. It's satisfying until the evening because the portion of rice is generous."
M Faza Fadillah,4 months ago,Nasi Lemak Wanjo Kampung Baru adalah nasi lemak yang cukup digemari oleh orang-orang terutama di kawasan Kampung Baru dan sekitarnya. Nasi lemak ini dihidangkan dengan hidangan sampingan yang banyak. Dalam satu hidangan nasi lemak and boleh Ã¢â¬Â¦,"Nasi Lemak Wanjo Kampung Baru is a highly popular nasi lemak, especially in the Kampung Baru area and its surroundings. This nasi lemak is served with a variety of side dishes"
Sally A.,a month ago,"Overall taste is good, common nasi lemak. No special dishes.Food Presentation - style nasi campur.Large eating space. Self service.","The overall taste is good, but it's a standard nasi lemak with no special dishes. The food presentation is in the style of nasi campur. There is ample dining space, and it's a self-service setup"
IRHAM SATRIA,2 months ago,"The food, too much happening in my plate. I couldn't really review the food. Location is at the centre of KL superb. The premise is spacious. There are air-conditioned section. The ambiance is a busy happening place to eat for breakfast and lunch.","The food had too much happening on my plate, making it difficult to review. The location in the center of KL is superb. The premises are spacious, with an air-conditioned section. The ambiance is bustling, making it a popular spot for breakfast and lunch."
Syukri Abd Rahman,3 months ago,Not the best but surely not as bad as what the locals had be taunting endlessly. Love the variation of the side dishes. Some I would consider unique too. Will for sure come again and bring my international friends here.,Not the best but surely not as bad as what the locals had be taunting endlessly. Love the variation of the side dishes. Some I would consider unique too. Will for sure come again and bring my international friends here.
Ida Idora,3 months ago,Parking is hassle & need to be patience. Packed with ppl even at night. Their nasi lemak is good but only the rice portion is a bit small for adult. It could be more better if they can improve on that part. The place are clean and spacious! outside the shop got pakcik selling jagung bakar (corn). Must try his corn too! <3,Parking is hassle & need to be patience. Packed with people even at night. Their nasi lemak is good but only the rice portion is a bit small for adults. It would be better if they could improve on that part. The place is clean and spacious! 
Amin Amran,a month ago,"Service cepat, agak panas, sambal dan nasi sedap. Ayam goreng dan rendang agak kering. Tambah nasi, tapi macam xde tambahan. Tambah nasi rm1.60..","Fast service, somewhat hot, tasty sambal and rice. The fried chicken and rendang are a bit dry. Added rice, but it seems like there's no extra. Added rice for RM1.60"
Pahrulanam Mohd Awi,6 months ago,"Big, large space. Room wt aircon pay RM1.00. Cooling inside since next to roadside. Nearly fullhse. Hot serve nasi lemak. Add-in gravy wt extea cast. Got chicken fried, curry, masak merah, sambal sotong, kerang, bagedil n paru. Hot & cool drink also have","Big, spacious area. Air-conditioned room requires an additional RM1.00. It's cool inside as it is next to the roadside. Almost full house. Nasi lemak is served hot. Additional gravy comes with an extra cost. There are options like fried chicken, curry, masak merah, sambal sotong, kerang, bagedil, and paru. Hot and cold drinks are also available."
Kevin Lee,3 months ago,The nasi lemak is lemak! Sauce is plenty!! Def has to exercise more after the sumptuous meal. There's an aircon section that u can dine. Just pay some extra ringgit to enjoy the ac,The nasi lemak is rich and flavorful! The sauce is abundant!! Definitely need to exercise more after such a sumptuous meal. There's an air-conditioned section where you can dine. Just pay a little extra to enjoy the AC
Priya Ray Chaudhuri,a month ago,"Awesome place for real authentic Nasi Lemak. If you are finicky about your plate please be alert because the serving ladies are super fast. Let them know what you want with a smile and they will help you out. I asked for no anchovies, a Ã¢â¬Â¦",Awesome place for real authentic Nasi Lemak. If you are finicky about your plate please be alert because the serving ladies are super fast. Let them know what you want with a smile and they will help you out. I asked for no anchovies Ã¢â¬Â¦
Mustafa Makkiyah,3 months ago,"The true definition of authentic nasi lemak! Highly recommended and amazing service too. It is located in a great place too, Kampung Bahru where there are amazing food options too and very cultural spot. A little on the pricey side but really worth it.","The true definition of authentic nasi lemak! Highly recommended and amazing service too. It is located in a great place too, Kampung Bahru where there are amazing food options too and very cultural spot. A little on the pricey side but really worth it."
Hamzarul Alif Hamzah,5 months ago,"Fast & efficient service. The nasi lemak was quite good. The rice was fragrant and while the sambal could be thicker, it tasted fine. Overall, would repeat!","Fast & efficient service. The nasi lemak was quite good. The rice was fragrant and while the sambal could be thicker, it tasted fine. Overall, would repeat!"
jannahtul raudhah,3 months ago,"Xpenah xpenuh bila dtg. Jika dh penah smp, tahniah! Tu bermakna anda telah berjaya struggle cari parking dan beratur pnjgÃ°Å¸Ëâ¹. Ã¢â¬Â¦","Never not full when coming. If you've managed to arrive, congratulations! It means you've successfully struggled to find parking and endured long queues."
33 Million Views,3 months ago,Amazingly super clean restaurant environment. The Nasi Lemak not too bad. I wish the nasi lemak will have more lemak taste / feel. Sambal kerang is good.,Amazingly super clean restaurant environment. The Nasi Lemak not too bad. I wish the nasi lemak will have more lemak taste / feel. Sambal kerang is good.
Ben Goh,2 weeks ago,"Delicious nasi lemak here, rendang chicken is yummy , ayam merah is good also . Can be crowded with queue but the line moves fast .",Amazingly super clean restaurant environment. The Nasi Lemak is not too bad. I wish the Nasi Lemak had more 'lemak' taste/feel. The cockle sambal is good
Mohd Fakhruz Zaman Mohammad,8 months ago,Nasi lemak kerang. Nice nasi lemak. Even long que but the services still awesome. Very recommended. Only limited parking space. Please do try avacado juice blended.,Nasi lemak kerang. Nice nasi lemak. Even long que but the services still awesome. Very recommended. Only limited parking space. Please do try avacado juice blended.
Ryan Tan,2 months ago,"The place was okay but the food were underwhelming. As a tourist it did not appeal to me and did not showcase the cuisine of malaysia. we ate here because our guide told us we could find nasi lemak and mee goreng here but as stated above, the nasi lemak was underwhelming and there was no mee goreng in sight","The place was okay but the food were underwhelming. As a tourist it did not appeal to me and did not showcase the cuisine of malaysia. we ate here because our guide told us we could find nasi lemak and mee goreng here but as stated above, the nasi lemak was underwhelming and there was no mee goreng in sight"
San,5 months ago,The Nasi Lemak is descent and at a reasonable price bracket compared to other famous brands. The place can get too crowded especially during meal time but the good thing is that the service is quite fast.,The Nasi Lemak is descent and at a reasonable price bracket compared to other famous brands. The place can get too crowded especially during meal time but the good thing is that the service is quite fast.
slxsh shimi,5 months ago,"Been here multiple times, and I think Wanjo Nasi Lemak would taste good for the tourists kot. The price is also not local at all. It has been commercialised; the pedas, the santan, the manis. Siapa tak pernah dtg, maybe boleh dtg but dont Ã¢â¬Â¦","I've been here multiple times, and I think Wanjo Nasi Lemak would taste good for tourists, perhaps. The price is also not local at all. It has been commercialized; the spiciness, the coconut milk, the sweetness. For those who have never been, maybe you can come, but don't expect too much"
Amy Mat Karim,2 months ago,Okeylah untuk selera orang bandar. I'm not sure if they have changed the chef but taste slightly different.,"Okay for urban taste. I'm not sure if they have changed the chef, but the taste is slightly different"
Jo Shuttleworth,2 months ago,"First time visiting Kuala Lumpur. Have eaten here for 3 days in a row. Delicious fresh food, affordable prices, friendly and helpful staff and the establishment is immaculately clean. Would definitely recommend!","First time visiting Kuala Lumpur. Have eaten here for 3 days in a row. Delicious fresh food, affordable prices, friendly and helpful staff and the establishment is immaculately clean. Would definitely recommend!"
Kamarulzaman Kamarudin,9 months ago,"Even tho the queue is long, it gets cleared fast. Staff is efficient and food is amazing! Nasi Lemak is flavorful, can really taste the coconut. Other side dishes are also amazing! Will definitely come again.","Even though the queue is long, it gets cleared fast. The staff is efficient and the food is amazing! Nasi Lemak is flavorful, can taste the coconut. Other side dishes are also amazing! Will come again."
Alis Nerindo,4 months ago,"Average nasi lemak! I've been staying in Kuala Lumpur for the past 8 years, and this is my first time visiting here. I've heard countless recommendations from friends about Wanjo, and their reviews were overwhelmingly positive. However, Ã¢â¬Â¦","Average nasi lemak! I've been staying in Kuala Lumpur for the past 8 years, and this is my first time visiting here. I've heard countless recommendations from friends about Wanjo, and their reviews were overwhelmingly positive. "
Asyraf Muhammad,4 months ago,"The food was good, but the price too pricy. Even the rice we received was too little. Serious, the rice wasnt enough for 1 portion, and i had to add more rice and it charged rm1.60. It's fine, and the beef i received only 1 pieces and they cut? Not worth it with rm11 bro. Even the drinks too expensive.","The food was good, but the prices were too high. Even the rice portion was too small. Seriously, the rice wasn't enough for one serving, and I had to add more, which cost RM1.60. It's fine, but I only received one piece of beef, and they cut it? Not worth it for RM11, bro. Even the drinks were too expensive."
Supanee Amraranga,5 months ago,"Worth it! I bought it back from restaurant which is ramadan period and the taste is still good. I was so full but after I tasted it, I couldn't stop eating. I do recommend to come and try. Sambal is very delicious. I also buy it back to my country. The menu I like is chilly cram.","Worth it! I bought it back from restaurant which is ramadan period and the taste is still good. I was so full but after I tasted it, I couldn't stop eating. I do recommend to come and try. Sambal is very delicious. I also buy it back to my country. The menu I like is chilly cram."
Yohana Martinez,2 months ago,"Their nasi lemak is delicious and very filling. I also tried their Teh Tarik, Milo, and, mango smoothie. Everything was incredible. The smoothie had the perfect amount of sweetness and was not watery. Their pricing is very good. There are Ã¢â¬Â¦","Their nasi lemak is delicious and very filling. I also tried their Teh Tarik, Milo, and, mango smoothie. Everything was incredible. The smoothie had the perfect amount of sweetness and was not watery. Their pricing is very good. Ã¢â¬Â¦"
Nandana Duta,a month ago,"One of the delicious and famous Nasi Lemak, if you go to Kuala Lumpur, you will definitely take the time to enjoy its delicacy","One of the delicious and famous Nasi Lemak, if you go to Kuala Lumpur, you will definitely take the time to enjoy its delicacy"
Junhyuk Song,8 months ago,"This restaurant is one of the most famous ones to Malaysians. The staff were very fast and its sambal sauce was special. Sotong was also good. But if you have a car, you need to find a good parking place. enjoy it.","This restaurant is one of the most famous ones to Malaysians. The staff were very fast and its sambal sauce was special. Sotong was also good. But if you have a car, you need to find a good parking place. enjoy it."
