Tokens,Tags
"['Serving', 'only', 'nasi', 'lemak', ',', 'this', 'huge', 'restaurant', 'offers', 'various', 'sides', ',', 'fruit', 'juices', '/', 'smoothies', ',', 'and', 'dessert', '.', 'There', 'are', '2', 'lines', 'for', 'either', 'dining', 'in', 'or', 'take', 'out', '.', 'Portions', 'were', 'not', 'too', 'big', 'and', 'the', 'food', 'was', 'delicious', '.', 'Lots', 'of', 'workers', 'and', 'plenty', 'of']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Serving', 'only', 'nasi', 'lemak', ',', 'this', 'huge', 'restaurant', 'offers', 'various', 'sides', ',', 'fruit', 'juices', '/', 'smoothies', ',', 'and', 'dessert', '.', 'There', 'are', '2', 'lines', 'for', 'either', 'dining', 'in', 'or', 'take', 'out', '.', 'Portions', 'were', 'not', 'too', 'big', 'and', 'the', 'food', 'was', 'delicious', '.', 'Lots', 'of', 'workers', 'and', 'plenty', 'of']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Serving', 'only', 'nasi', 'lemak', ',', 'this', 'huge', 'restaurant', 'offers', 'various', 'sides', ',', 'fruit', 'juices', '/', 'smoothies', ',', 'and', 'dessert', '.', 'There', 'are', '2', 'lines', 'for', 'either', 'dining', 'in', 'or', 'take', 'out', '.', 'Portions', 'were', 'not', 'too', 'big', 'and', 'the', 'food', 'was', 'delicious', '.', 'Lots', 'of', 'workers', 'and', 'plenty', 'of']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Serving', 'only', 'nasi', 'lemak', ',', 'this', 'huge', 'restaurant', 'offers', 'various', 'sides', ',', 'fruit', 'juices', '/', 'smoothies', ',', 'and', 'dessert', '.', 'There', 'are', '2', 'lines', 'for', 'either', 'dining', 'in', 'or', 'take', 'out', '.', 'Portions', 'were', 'not', 'too', 'big', 'and', 'the', 'food', 'was', 'delicious', '.', 'Lots', 'of', 'workers', 'and', 'plenty', 'of']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['While', 'I', 'was', 'recommend', 'over', 'to', 'this', 'place', 'by', 'a', 'friend', ',', 'I', 'gotta', 'say', 'as', 'a', 'nasi', 'lemak', 'specialty', 'place', ',', 'I', 'would', 'had', 'expected', 'a', 'little', 'more', 'flare', 'from', 'the', 'taste', 'and', 'overall', 'presentation', '.', 'Whilst', 'the', 'food', 'had', 'not', 'amazed', 'me', 'much', '(', 'since', 'I', 'am', 'Malaysian']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['While', 'I', 'was', 'recommend', 'over', 'to', 'this', 'place', 'by', 'a', 'friend', ',', 'I', 'gotta', 'say', 'as', 'a', 'nasi', 'lemak', 'specialty', 'place', ',', 'I', 'would', 'had', 'expected', 'a', 'little', 'more', 'flare', 'from', 'the', 'taste', 'and', 'overall', 'presentation', '.', 'Whilst', 'the', 'food', 'had', 'not', 'amazed', 'me', 'much', '(', 'since', 'I', 'am', 'Malaysian']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['While', 'I', 'was', 'recommend', 'over', 'to', 'this', 'place', 'by', 'a', 'friend', ',', 'I', 'gotta', 'say', 'as', 'a', 'nasi', 'lemak', 'specialty', 'place', ',', 'I', 'would', 'had', 'expected', 'a', 'little', 'more', 'flare', 'from', 'the', 'taste', 'and', 'overall', 'presentation', '.', 'Whilst', 'the', 'food', 'had', 'not', 'amazed', 'me', 'much', '(', 'since', 'I', 'am', 'Malaysian']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Spacious', 'and', 'clean', 'place', ',', 'with', 'several', 'staff', 'waiting', 'to', 'clear', 'the', 'tables', 'for', 'the', 'next', 'group', 'of', 'diners', '.', 'They', 'upheld', 'a', 'reputation', 'in', 'Kampung', 'Baru', 'for', 'decades', ',', 'with', 'many', 'fans', 'who', 'swear']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Spacious', 'and', 'clean', 'place', ',', 'with', 'several', 'staff', 'waiting', 'to', 'clear', 'the', 'tables', 'for', 'the', 'next', 'group', 'of', 'diners', '.', 'They', 'upheld', 'a', 'reputation', 'in', 'Kampung', 'Baru', 'for', 'decades', ',', 'with', 'many', 'fans', 'who', 'swear']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Spacious', 'and', 'clean', 'place', ',', 'with', 'several', 'staff', 'waiting', 'to', 'clear', 'the', 'tables', 'for', 'the', 'next', 'group', 'of', 'diners', '.', 'They', 'upheld', 'a', 'reputation', 'in', 'Kampung', 'Baru', 'for', 'decades', ',', 'with', 'many', 'fans', 'who', 'swear']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Delicious', 'nasi', 'lemak', 'with', 'plenty', 'of', 'side', 'dishes', '.', 'As', 'expected', 'due', 'to', 'their', 'popularity', 'the', 'price', 'is', 'higher', 'than', 'regular', 'nasi', 'lemak', '.', 'Cleanliness', 'seems', 'ok', '.', 'Service', 'was', 'also', 'friendly', '.', 'Dont', 'know', 'what', 'the', 'bad', 'service', 'criticisms', 'are', 'about', '.', 'Either', 'they', 'had', 'bad', 'luck', 'or', 'some', 'competitors', 'trying', 'to', 'give', 'bad', 'remarks', 'about', 'them', '.']","[0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Delicious', 'nasi', 'lemak', 'with', 'plenty', 'of', 'side', 'dishes', '.', 'As', 'expected', 'due', 'to', 'their', 'popularity', 'the', 'price', 'is', 'higher', 'than', 'regular', 'nasi', 'lemak', '.', 'Cleanliness', 'seems', 'ok', '.', 'Service', 'was', 'also', 'friendly', '.', 'Dont', 'know', 'what', 'the', 'bad', 'service', 'criticisms', 'are', 'about', '.', 'Either', 'they', 'had', 'bad', 'luck', 'or', 'some', 'competitors', 'trying', 'to', 'give', 'bad', 'remarks', 'about', 'them', '.']","[0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Delicious', 'nasi', 'lemak', 'with', 'plenty', 'of', 'side', 'dishes', '.', 'As', 'expected', 'due', 'to', 'their', 'popularity', 'the', 'price', 'is', 'higher', 'than', 'regular', 'nasi', 'lemak', '.', 'Cleanliness', 'seems', 'ok', '.', 'Service', 'was', 'also', 'friendly', '.', 'Dont', 'know', 'what', 'the', 'bad', 'service', 'criticisms', 'are', 'about', '.', 'Either', 'they', 'had', 'bad', 'luck', 'or', 'some', 'competitors', 'trying', 'to', 'give', 'bad', 'remarks', 'about', 'them', '.']","[0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Delicious', 'nasi', 'lemak', 'with', 'plenty', 'of', 'side', 'dishes', '.', 'As', 'expected', 'due', 'to', 'their', 'popularity', 'the', 'price', 'is', 'higher', 'than', 'regular', 'nasi', 'lemak', '.', 'Cleanliness', 'seems', 'ok', '.', 'Service', 'was', 'also', 'friendly', '.', 'Dont', 'know', 'what', 'the', 'bad', 'service', 'criticisms', 'are', 'about', '.', 'Either', 'they', 'had', 'bad', 'luck', 'or', 'some', 'competitors', 'trying', 'to', 'give', 'bad', 'remarks', 'about', 'them', '.']","[0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Delicious', 'nasi', 'lemak', 'with', 'plenty', 'of', 'side', 'dishes', '.', 'As', 'expected', 'due', 'to', 'their', 'popularity', 'the', 'price', 'is', 'higher', 'than', 'regular', 'nasi', 'lemak', '.', 'Cleanliness', 'seems', 'ok', '.', 'Service', 'was', 'also', 'friendly', '.', 'Dont', 'know', 'what', 'the', 'bad', 'service', 'criticisms', 'are', 'about', '.', 'Either', 'they', 'had', 'bad', 'luck', 'or', 'some', 'competitors', 'trying', 'to', 'give', 'bad', 'remarks', 'about', 'them', '.']","[0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Delicious', 'nasi', 'lemak', 'with', 'plenty', 'of', 'side', 'dishes', '.', 'As', 'expected', 'due', 'to', 'their', 'popularity', 'the', 'price', 'is', 'higher', 'than', 'regular', 'nasi', 'lemak', '.', 'Cleanliness', 'seems', 'ok', '.', 'Service', 'was', 'also', 'friendly', '.', 'Dont', 'know', 'what', 'the', 'bad', 'service', 'criticisms', 'are', 'about', '.', 'Either', 'they', 'had', 'bad', 'luck', 'or', 'some', 'competitors', 'trying', 'to', 'give', 'bad', 'remarks', 'about', 'them', '.']","[0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['I', 'am', 'the', 'type', 'of', 'person', 'who', 'eats', 'small', 'portions', 'of', 'nasi', ',', 'one', 'nasi', 'lemak', 'is', 'always', 'hard', 'to', 'finish', ',', 'this', 'one', 'is', 'very', 'small', 'portion']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['I', 'am', 'the', 'type', 'of', 'person', 'who', 'eats', 'small', 'portions', 'of', 'nasi', ',', 'one', 'nasi', 'lemak', 'is', 'always', 'hard', 'to', 'finish', ',', 'this', 'one', 'is', 'very', 'small', 'portion']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['There', 'was', 'already', 'a', 'queue', 'when', 'I', 'arrived', 'for', 'breakfast', 'today', '.', 'A', 'queue', 'for', 'dine', 'in', 'and', 'another', 'for', 'take', 'away', '.', 'It', 'was', 'quite', 'systematic', 'and', 'it', 'did', 'not', 'take', 'too', 'long', 'for', 'my', 'turn', '.', 'We', 'added', 'the', 'chicken', 'rendang', 'and', 'the', 'sambal', 'sotong', 'each', 'on', 'top', 'of']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['There', 'was', 'already', 'a', 'queue', 'when', 'I', 'arrived', 'for', 'breakfast', 'today', '.', 'A', 'queue', 'for', 'dine', 'in', 'and', 'another', 'for', 'take', 'away', '.', 'It', 'was', 'quite', 'systematic', 'and', 'it', 'did', 'not', 'take', 'too', 'long', 'for', 'my', 'turn', '.', 'We', 'added', 'the', 'chicken', 'rendang', 'and', 'the', 'sambal', 'sotong', 'each', 'on', 'top', 'of']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Food', 'was', 'very', 'good', 'and', 'offer', 'a', 'good', 'variety', 'of', 'dishes', '.', 'I', 'like', 'the', 'way', 'they', 'sell', 'their', 'food', ',', 'you', 'can', 'see', 'what', 'you', 'want', 'and', 'ask', 'them', 'to', 'add', 'it', 'to', 'your', 'plate', '.', 'Price', 'are', 'right', '.', 'The', 'natural', 'fruit', 'juices', 'were', 'very', 'good', 'and', 'it', 'is', 'a', 'big', 'cup', '!', 'Love']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Food', 'was', 'very', 'good', 'and', 'offer', 'a', 'good', 'variety', 'of', 'dishes', '.', 'I', 'like', 'the', 'way', 'they', 'sell', 'their', 'food', ',', 'you', 'can', 'see', 'what', 'you', 'want', 'and', 'ask', 'them', 'to', 'add', 'it', 'to', 'your', 'plate', '.', 'Price', 'are', 'right', '.', 'The', 'natural', 'fruit', 'juices', 'were', 'very', 'good', 'and', 'it', 'is', 'a', 'big', 'cup', '!', 'Love']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Food', 'was', 'very', 'good', 'and', 'offer', 'a', 'good', 'variety', 'of', 'dishes', '.', 'I', 'like', 'the', 'way', 'they', 'sell', 'their', 'food', ',', 'you', 'can', 'see', 'what', 'you', 'want', 'and', 'ask', 'them', 'to', 'add', 'it', 'to', 'your', 'plate', '.', 'Price', 'are', 'right', '.', 'The', 'natural', 'fruit', 'juices', 'were', 'very', 'good', 'and', 'it', 'is', 'a', 'big', 'cup', '!', 'Love']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Food', 'was', 'very', 'good', 'and', 'offer', 'a', 'good', 'variety', 'of', 'dishes', '.', 'I', 'like', 'the', 'way', 'they', 'sell', 'their', 'food', ',', 'you', 'can', 'see', 'what', 'you', 'want', 'and', 'ask', 'them', 'to', 'add', 'it', 'to', 'your', 'plate', '.', 'Price', 'are', 'right', '.', 'The', 'natural', 'fruit', 'juices', 'were', 'very', 'good', 'and', 'it', 'is', 'a', 'big', 'cup', '!', 'Love']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Food', 'was', 'very', 'good', 'and', 'offer', 'a', 'good', 'variety', 'of', 'dishes', '.', 'I', 'like', 'the', 'way', 'they', 'sell', 'their', 'food', ',', 'you', 'can', 'see', 'what', 'you', 'want', 'and', 'ask', 'them', 'to', 'add', 'it', 'to', 'your', 'plate', '.', 'Price', 'are', 'right', '.', 'The', 'natural', 'fruit', 'juices', 'were', 'very', 'good', 'and', 'it', 'is', 'a', 'big', 'cup', '!', 'Love']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['I', 'like', 'the', 'atmosphere', 'here', '.', 'It', 'was', 'clean', ',', 'bright', ',', 'and', 'spacious', '.', 'Staff', 'was', 'smiley', ',', 'friendly', ',', 'and', 'helpful', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['I', 'like', 'the', 'atmosphere', 'here', '.', 'It', 'was', 'clean', ',', 'bright', ',', 'and', 'spacious', '.', 'Staff', 'was', 'smiley', ',', 'friendly', ',', 'and', 'helpful', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['I', 'like', 'the', 'atmosphere', 'here', '.', 'It', 'was', 'clean', ',', 'bright', ',', 'and', 'spacious', '.', 'Staff', 'was', 'smiley', ',', 'friendly', ',', 'and', 'helpful', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['I', 'like', 'the', 'atmosphere', 'here', '.', 'It', 'was', 'clean', ',', 'bright', ',', 'and', 'spacious', '.', 'Staff', 'was', 'smiley', ',', 'friendly', ',', 'and', 'helpful', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['I', 'like', 'the', 'atmosphere', 'here', '.', 'It', 'was', 'clean', ',', 'bright', ',', 'and', 'spacious', '.', 'Staff', 'was', 'smiley', ',', 'friendly', ',', 'and', 'helpful', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Nasi', 'lemak', 'taste', 'good', ',', 'offer', 'alot', 'of', 'varieties', 'and', 'the', 'counter', 'service', 'is', 'fast', '.', 'They', 'also', 'seperate', 'lanes', 'for', 'dine', '-', 'in', 'and', 'take', 'away', '.', 'Got', 'to', 'try', 'the', 'fruit', 'juice', ',', 'very', 'refreshing', 'and', 'tasty', '.', 'Alot', 'of', 'private', 'parking', 'nearby', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]"
"['Nasi', 'lemak', 'taste', 'good', ',', 'offer', 'alot', 'of', 'varieties', 'and', 'the', 'counter', 'service', 'is', 'fast', '.', 'They', 'also', 'seperate', 'lanes', 'for', 'dine', '-', 'in', 'and', 'take', 'away', '.', 'Got', 'to', 'try', 'the', 'fruit', 'juice', ',', 'very', 'refreshing', 'and', 'tasty', '.', 'Alot', 'of', 'private', 'parking', 'nearby', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]"
