Reviewer,Date,Review
Fatynanana,3 months ago,So we arrived around 10.30am. The queue was long but moves very fast. 100 for the service. We really love their rendang daging and sambal kerang. The freshly made avocado + mango smoothies were really good too! Parking was quite hard to â€¦
Fernan Mascarinas,4 months ago,"If you want good, affordable, Malaysian Food, you have come to the right place.After walking for at least 25 minutes from where I stay, I found this gem of a â€¦"
Aaron Chin,3 months ago,Thought to give this place a try since it was close to my Airbnb.I have seen the reviews saying that this place is always crowded but on the day â€¦
Iman Marissa,5 months ago,"Nasi dia sedap. Boleh rasa lemak. Tp sambal biasa2 je. Mcm kurang masak pun ye. Paru sedap, ayam goreng berempah tu ok ok je. Sambal sotong pn ok ok je. Total makanan kitorang ni without air RM24.70. A bit overpriced utk rasa ok ok tu. Overall 3/5."
Baibranizam Brahim,2 months ago,"For all Food Hunter or Food Lovers. Here is the perfect place to taste ""Taste of Malaysia's Nasi Lemak"". A bit expensive but worth the money you spent."
Soraya Yahya,5 months ago,"Iâ€™d have to say nasi lemak angah is still my top nasi lemak. This is my first time in this infamous place but I have it a four because of how organised and how clean this place is, you can also park your car in front for a modest fee of rm5 â€¦"
hasrol amri abu yazid,a week ago,"1st & last je la ni, jujur lillahi taala, datang dari jauh kecewa sangat..indah khabar dari rupa... sambal sangat manis dan masin. Paru liat, rendang daging sangat masin, x boleh makan... burn je duit puluh ringgit, lg sedap nasi lemak makcik tepi jalan."
Din Saint,2 months ago,"Nasi Lemak Wanjo is the place to go for your nasi Lemak fix when in Kampung Bharu. Nasi Lemak or coconut rice is traditionally eaten with sambal (sweet chilli paste), cucumbers, ikan bills (anchovies), and peanuts. Here, the list of dishes â€¦"
Aaron Leong,2 months ago,"Reasonable price, big shop with lots of tables. Really busy place especially the Saturday night 9pm I went.The line moved very quick, the sambal was delicious and so was the chicken. The â€¦"
rizz2203,a month ago,"1st time dtg sini utk breakfast 9am hari weekday ok tak terlalu ramai org...lauk byk.saya order nasi lemak lauk kerang sambal , ayam msk merah...kerang nye pedas â€¦"
Elyna Shakira,3 months ago,"Nasi lembut dimasak cantik, wangi & berasa lemak santan. Sambal kerang sedap cuma sedikit masin . Portion banyak. Kedai femes kan, harga pun agak kencang. Service laju, kedai bersih . Overall nice ðŸ‘ â€¦"
zilleon,5 months ago,"For RM29.40, I got 2 nasi lemak ayam, a tempe, ice Milo and coffee. This store gone viral and my wife thought that the food must be good. Well, I think it's over hyped. I went to it today. The rice tasted more like ordinary rice rather than â€¦"
rahima hamid,3 weeks ago,Ni 1st time dpt makan kat sini selama ni x dpt g sbb setiap kali pergi xde parking.. alhamdulillah mlm td ada lah parking berdekatan.. so gagahkan jugalah.. berbaloi pergi..
Farrell Tan,a month ago,"One of the better places for nasi lemak in the city. Access to it is made easier with the lrt, and you can also check out the Saloma tunnel after dinner, which overlooks the Twin Towers. Great for tourists."
Han Hui Teoh,3 weeks ago,"Do you enjoy eating in a sauna? Because this is what it feels like. The whole place has absolutely horrendous airflow. It's clear that there was no consideration for ventilation when the structure was built. No roof ventilators, no air circulator, no air coolers, only small fans mounted on the ceiling."
Miss Ah_Ya,3 months ago,âœ…Nasi lemak sambal okay ada pedas manis balance.jus tembikai okay tpi still agak manis sedikit.ayam goreng berempah sedap â€¦
Nick,4 months ago,"Dekat sini saya ambil nasi lemak tambah ayam rendang complete sambal, kacang, and ikan bilis semua RM11. 90, memang sedap."
Alex P'ng,2 months ago,Sauces are good. Sambal was spicy and flavorful. There is a Coway water dispenser if you don't fancy any drinks. Tables are cleared very quickly and systematically. Place has very good ventilation and seating places. The fried chicken can be better. Rendang chicken is memang sedap!!! Fruit juices seem reasonably priced.
Muhammad Fahmi Abdul Aziz,4 months ago,Very good place to get Malaysian Nasi Lemak.. Plenty of dishes available to choose with the Nasi Lemak.. QR code is now accepted.. â€¦
Hey Zahim,a week ago,"Semua ok. Layanan pun baik. Bagus nya ada pilihan, kalau x nak bayau rm 1 utk duduk air cond, boleh duduk luar. Apa2 pun yg penting bersih ðŸ‘ðŸ» teratur âœ¨ï¸ â€¦"
Sean Tye,3 months ago,Sharing my experience at this famous nasi lemak shop in Kampung Baru after hearing many reviews. â€¦
Hoang Vo,3 months ago,"The third time coming back to show my friends from Vietnam their nasi lemakThey have ayam goreng, ayam rendang, beef rendang, seafoodâ€¦ all tastes so so good.And the fresh juice shop is just as good as they have been.Affordable price and authentic tasteI hope more foreigners know about Kampung Baru and can try the real Malaysian food here"
Foodiefam Stories,4 months ago,"Nasi Lemak Wanjo is a renowned restaurant in Kuala Lumpur, Malaysia that specializes in the dish known as nasi lemak, a popular Malaysian dish that is considered a national favorite. â€¦"
Ernie Goh,3 months ago,Was recommended by a Malaysian friend who told me about this place when I mentioned Village Park nasi lemak (a popular haunt for Singaporeans). Food did not disappoint. The rice was less flavorful that Village Park but the other dishes were pretty flavorful. Sambal was sweet and rich - love it! A little on the pricier side though
Ryan Wong,2 months ago,"Absolutely superb nasi lemak. Pure and original taste, super decadent flavours. I ordered the chicken renang, and it was awesome!! great blend of spice and flavour! â€¦"
Vincent Lim,5 months ago,"Very popular place, it seems.  I tried the Nasi Lemak Ayam Rendang.  The chicken is very tender and tasty. My American friend tried the Nasi Lemak Daging Rendang a d the beef is very tender and done well .... not chewy at all. All in all, a good place for food."
SD D.,a month ago,Have both aircon n non-aurcon sheltered dining area. Very clean. Double wow! for their nasi lemak. Dishes and side dishes have good balanced flavors. Must try food in KL. â€¦
Andre Tee,a week ago,Beautiful food here had a great experience here with the family. The venue is clean and very organised.
Chui Lien Ling,5 months ago,Located near to the Kpg Bharu main entrance and walking distance from LRT Kpg Bharu station.
dzulph,3 months ago,Fast service. Good food. Nasi lemak sedap that you can find in KL. If got more choices that would be great.
ira Eira,a month ago,nasi lemak sedap.. pagi2 xthu nk mkn apa leh terjah mkn sni.. kyg smpai ke ptg sbb portoin nasi dia bnyak
M Faza Fadillah,4 months ago,Nasi Lemak Wanjo Kampung Baru adalah nasi lemak yang cukup digemari oleh orang-orang terutama di kawasan Kampung Baru dan sekitarnya. Nasi lemak ini dihidangkan dengan hidangan sampingan yang banyak. Dalam satu hidangan nasi lemak and boleh â€¦
Sally A.,a month ago,"Overall taste is good, common nasi lemak. No special dishes.Food Presentation - style nasi campur.Large eating space. Self service."
Miralalalol,7 months ago,"Oh wow pukul 10 malam (hari kerja) pun masih ramai manusia beratur :o awal-awal datang KL dulu rasa janggal la jugak, sebab Tganurian makan nasi lemak waktu pagi je ðŸ¤” â€¦"
IRHAM SATRIA,2 months ago,"The food, too much happening in my plate. I couldn't really review the food. Location is at the centre of KL superb. The premise is spacious. There are air-conditioned section. The ambiance is a busy happening place to eat for breakfast and lunch."
Syukri Abd Rahman,3 months ago,Not the best but surely not as bad as what the locals had be taunting endlessly. Love the variation of the side dishes. Some I would consider unique too. Will for sure come again and bring my international friends here.
Ida Idora,3 months ago,Parking is hassle & need to be patience. Packed with ppl even at night. Their nasi lemak is good but only the rice portion is a bit small for adult. It could be more better if they can improve on that part. The place are clean and spacious! outside the shop got pakcik selling jagung bakar (corn). Must try his corn too! <3
Amin Amran,a month ago,"Service cepat, agak panas, sambal dan nasi sedap. Ayam goreng dan rendang agak kering. Tambah nasi, tapi macam xde tambahan. Tambah nasi rm1.60.."
Pahrulanam Mohd Awi,6 months ago,"Big, large space. Room wt aircon pay RM1.00. Cooling inside since next to roadside. Nearly fullhse. Hot serve nasi lemak. Add-in gravy wt extea cast. Got chicken fried, curry, masak merah, sambal sotong, kerang, bagedil n paru. Hot & cool drink also have"
Kevin Lee,3 months ago,The nasi lemak is lemak! Sauce is plenty!! Def has to exercise more after the sumptuous meal. There's an aircon section that u can dine. Just pay some extra ringgit to enjoy the ac
Priya Ray Chaudhuri,a month ago,"Awesome place for real authentic Nasi Lemak. If you are finicky about your plate please be alert because the serving ladies are super fast. Let them know what you want with a smile and they will help you out. I asked for no anchovies, a â€¦"
Mustafa Makkiyah,3 months ago,"The true definition of authentic nasi lemak! Highly recommended and amazing service too. It is located in a great place too, Kampung Bahru where there are amazing food options too and very cultural spot. A little on the pricey side but really worth it."
Hamzarul Alif Hamzah,5 months ago,"Fast & efficient service. The nasi lemak was quite good. The rice was fragrant and while the sambal could be thicker, it tasted fine. Overall, would repeat!"
jannahtul raudhah,3 months ago,"Xpenah xpenuh bila dtg. Jika dh penah smp, tahniah! Tu bermakna anda telah berjaya struggle cari parking dan beratur pnjgðŸ˜‹. â€¦"
33 Million Views,3 months ago,Amazingly super clean restaurant environment. The Nasi Lemak not too bad. I wish the nasi lemak will have more lemak taste / feel. Sambal kerang is good.
Ben Goh,2 weeks ago,"Delicious nasi lemak here, rendang chicken is yummy , ayam merah is good also . Can be crowded with queue but the line moves fast ."
Mohd Fakhruz Zaman Mohammad,8 months ago,Nasi lemak kerang. Nice nasi lemak. Even long que but the services still awesome. Very recommended. Only limited parking space. Please do try avacado juice blended.
Ryan Tan,2 months ago,"The place was okay but the food were underwhelming. As a tourist it did not appeal to me and did not showcase the cuisine of malaysia. we ate here because our guide told us we could find nasi lemak and mee goreng here but as stated above, the nasi lemak was underwhelming and there was no mee goreng in sight"
San,5 months ago,The Nasi Lemak is descent and at a reasonable price bracket compared to other famous brands. The place can get too crowded especially during meal time but the good thing is that the service is quite fast.
slxsh shimi,5 months ago,"Been here multiple times, and I think Wanjo Nasi Lemak would taste good for the tourists kot. The price is also not local at all. It has been commercialised; the pedas, the santan, the manis. Siapa tak pernah dtg, maybe boleh dtg but dont â€¦"
Amy Mat Karim,2 months ago,Okeylah untuk selera orang bandar. I'm not sure if they have changed the chef but taste slightly different.
Jo Shuttleworth,2 months ago,"First time visiting Kuala Lumpur. Have eaten here for 3 days in a row. Delicious fresh food, affordable prices, friendly and helpful staff and the establishment is immaculately clean. Would definitely recommend!"
Kamarulzaman Kamarudin,9 months ago,"Even tho the queue is long, it gets cleared fast. Staff is efficient and food is amazing! Nasi Lemak is flavorful, can really taste the coconut. Other side dishes are also amazing! Will definitely come again."
Alis Nerindo,4 months ago,"Average nasi lemak! I've been staying in Kuala Lumpur for the past 8 years, and this is my first time visiting here. I've heard countless recommendations from friends about Wanjo, and their reviews were overwhelmingly positive. However, â€¦"
Asyraf Muhammad,4 months ago,"The food was good, but the price too pricy. Even the rice we received was too little. Serious, the rice wasnt enough for 1 portion, and i had to add more rice and it charged rm1.60. It's fine, and the beef i received only 1 pieces and they cut? Not worth it with rm11 bro. Even the drinks too expensive."
Supanee Amraranga,5 months ago,"Worth it! I bought it back from restaurant which is ramadan period and the taste is still good. I was so full but after I tasted it, I couldn't stop eating. I do recommend to come and try. Sambal is very delicious. I also buy it back to my country. The menu I like is chilly cram."
Yohana Martinez,2 months ago,"Their nasi lemak is delicious and very filling. I also tried their Teh Tarik, Milo, and, mango smoothie. Everything was incredible. The smoothie had the perfect amount of sweetness and was not watery. Their pricing is very good. There are â€¦"
Nandana Duta,a month ago,"One of the delicious and famous Nasi Lemak, if you go to Kuala Lumpur, you will definitely take the time to enjoy its delicacy"
Junhyuk Song,8 months ago,"This restaurant is one of the most famous ones to Malaysians. The staff were very fast and its sambal sauce was special. Sotong was also good. But if you have a car, you need to find a good parking place. enjoy it."
nabilah abd rahman,9 months ago,"Kedai sangat bersih. Makanan okay sedap. Harga reasonable, kena pada potion, keselesaan kedai & rasa makanan. Nasi lemak sotong & rendang RM10, bergedil sangat sedap, rugi kalau tak beli. Paru RM3, so harga memang berpatutan. Ada ruang â€¦"
Welliam Lauw,a month ago,"best nasi lemak iâ€™ve ever had. the rice was so fragrant, must add the perkedel â¤ï¸"
Shida Chopperz,2 weeks ago,Sambal was way too sweet might as well eat nasi lemak with sugar. I love the â€˜teh o ais limauâ€™ only . Kbye
Chris Rodriguez,6 months ago,"Oh man, where to even start!This here is hands down where you are going to find the best nasi lemak in the city! The people are extremely nice and the customer service is amazing!They have many different kinds of chicken and they also make incredible smoothies! I recommend trying the mango smoothie, as it gets served with many mango chunks inside! One of the best that I've ever had!"
froompah,3 months ago,"The food doesnt really live up to all the hype and buzz created by the media. Tastes like the average nasi lemak from any roadside stall. The rice isnt particularly fragrant. And the sambal,  nothing to shout about (a little too spicy though). But it has clean comfy seating, and popular with foreign tourists."
Tattoo Family,8 months ago,"A different experience of Nasi Lemak. Taste not bad. Very clean and hygienic place. Staffs are very polite, well mannered and friendly. Price is surprisingly on the cheap side ðŸ˜‰ â€¦"
Nur Syafiqah Muhamad,9 months ago,First time eating at this place. It was fully seated and had to queue and fortunately not too long. Kudos to managementðŸ‘ðŸ» â€¦
Mark Lee,7 months ago,"If you want to try local Malay Nasi Lemak, here it is, not variety of choice, but the food was great, that why filled with lot of local people. The sellers are all friendly, 5 stars."
Rachel Yosi,2 months ago,"Oke Nasi Lemak Wadjo is always popular even for local peoples in Malaysia but for sure for me as tourits there , as my last visited on May 2023 just for hunting Nasi Lemak , i can say Nasi Lemak here is so autentic with Melayu taste , as â€¦"
MOHD RIDZUAN KUSHAIRI BIN MOHD RAMLI,7 months ago,"About 20 years ago, i told myself to never ever go to Kampung Baru for Nasi Lemak. This was a time when i had a week of massive and extensive diarrhoea after tasting the then popular Nasi Lemak Antarabangsa. Back then Kg Baru outlets were â€¦"
SEB WALKER,a month ago,"Overrated in my opinion. Sweet Sambal, no peanuts.Eaten many better tasting lemaks at humble market stalls."
Joshua,a year ago,"Locals love it, tourists come to it, and it's included in nearly every food tour. â€¦"
Chew Jill,6 months ago,"Spacious, bright and clean. We opted for the aircon room as it was a hot day and paid RM1 per person. â€¦"
Muhammad Iqmal Putra Zulkefli,2 months ago,"Sedap, sambal tak pedas sngt, potion not bad. Harga sedikit mahal dari biasa tapi berbaloi."
Yusri Yusop,8 months ago,"I recently visited Restaurant Nasi Lemak Wan Jo and my experience was mixed. The service was decent and the restaurant was clean. The atmosphere was okay, nothing too special. The nasi lemak itself was okay, it was decent but nothing â€¦"
Azrul Hizam,11 months ago,"At the moment my fav nasi lemak in kl ðŸ˜ not for the feint hearted. If you are on the strict diet steer clear of this place ðŸ¤£. For the rest of us come for the tasty nasi lemak and dishes available. I had the squid and cockles sambal, the â€¦"
Aisha Othman,7 months ago,"Best nasi lemak in KL so far.  If you dining in, queue and get the dishes you want. Pay to the cashier and find your table. And if you plan to 'take away', there's another line to queue. Very systematic. And both queue cleared very fast. I â€¦"
Cashulz Gaming (Cv),3 months ago,Gone here with family.Price wise is good for dinner.Food is good.Their chicken n begedil is big.Service is fast. No wait at all on saturday night
Khairul Azrin,a month ago,Nasi lemak dimasak sempurna. Sedap dan berderai gitu.Tidak lembik atau nasi tidak kurang air. Sambal kurang pedas dan agak manis. Bagi saya sambal sedap walaupun sambal tidak pekat. Sambal sotong pun best rasanya. Cuma yang tak puas hati â€¦
Gunasekar Mariappan,8 months ago,Long queue before can reach the counter. However the service is fast. The rice is nice and creamy: Sambal is on sweeter side. Very focused menu serving only Nasi Lemak with fewer side dishes spread. â€¦
Nur Syafeeqa,8 months ago,"Kenapa ramai kata tak sedap ye. Cuma satu jela. Sambal dia agak manis. Jika makan pinggan kedua, mungkin rasa sedikit muak. Ayam masak merah sedap! Servis lajuuuuu. Jika nak duduk dalam bilik aircond kene bayar extra rm1/per person. Beratur pun sekejap je. Anyway, worth to try! Boleh datang lagi :)"
ahmed fariq abdullah,2 months ago,"amat bersih dan selesa nasi lemak wanjo, banyak perubahan kedai di lakukan dan amat-amat selesa"
HÃ¹ng BÃ¹i,a year ago,"Food is good, tasty. 13Rm for the big tomato chicken and beef rendang plate and 16Rm for the fried chicken and sotong. Drink is cheap just 2RM for TehO-Ice. A lot of table and clean place for eating. I think the price of food is OKWorth to wait for long queue. Tourist should give a shot"
Kenan Altiparmak,4 months ago,"Very yummy food! Pretty good value for money, I ordered a lot as you can see from my photo and it was very reasonably priced. â€¦"
MF H,3 days ago,Mmg skali jela aku mkn sini haha.Aku bkn jenis suka buang2 mkanan so aku habiskn jela hakikatnya rasa biasa sgt. Aku harapkn wow sbb rmai review sedap haha rupanya hurmmm. Tpi 1 yg bagus kedai sentiasa bersih ini bagus.
Ann James,a month ago,Nasi lemak sedap. Sambal dan lauk lain portion nasi dia sikit.. Jadi jangan luar mi rak extra nasi.. Sebab lauk nye banyak.. ðŸ˜‚Ade 2 tempat..If nk aircond rm1 sorang ya.. Tapi nicerr je la..Panas luar ðŸ˜‚ðŸ˜‚Air coway.. Foc ðŸ¤ðŸ¤ðŸ¤Sirap ais sedappp ðŸ˜Š
Muhammad Azan,2 months ago,"The taste of food is still great with new atmosphere, BUT, I am very disappointed with the service, I found the crew are not kind, no smile and no sense of service, when I came in quiet hour, the crew just ignored me even one of the crew are going and make me waiting to order"
Abu Faris,7 months ago,Has quickly taken over the vacant spot left behind by erstwhile rival nasi lemak antarabangsa - wonder what has happened to them folks. Anybody knows? Nasi lemak here is nothing to shout about but the soft cuttlefish gives them the edge â€¦
Chesper-Joghne Pang,6 months ago,"Loved, loved, loved Wanjo's Nasi Lemak! ðŸ˜‹ðŸ˜˜â¤ï¸Being Singaporean, it's hard to get used to the Malaysian Nasi Lemak, primarily because the sambal in Malaysia is generally more liquid and gravy-like, with slivers of onions swimming in it and less sweet, and that small deep-fried ikan kuning is nowhere to be seen.  The rice is often overcooked and clumpy.Then I found Wanjo ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜˜ðŸ˜˜ðŸ˜˜ by accident whilst visiting Kampong Bharu.  Wanjo's sambal, although still more liquid and gravy-like, is just as sweet as Singapore's version that I grew up with, without those annoying lumpy onions.   The rice is aromatic, fragrant and cooked to perfection - each rice grain is separate and QQ to the bite.The price was exceptionally reasonable, I thought, given the exceptional standard of the Nasi Lemak and accomplishments offered at Wanjo's.We beat the crowd, got our Nasi Lemak with different accompaniments - I had beef lung, sotong and fried egg omelette, whilst my partner had deep-fried chicken, and found our seats at the non-air-conditioned area.  It was a great dining experience with a crowd of equally satisfied, happy (and noisy ðŸ˜‚ðŸ˜‚ðŸ˜‚) patrons.The service line was quick, and the staff was exceptionally friendly, who were extremely quick to respond and patient with this English-speaking inquisitive Singaporean and his Caucasian partner.Although there's still no small deep-fried ikan kuning, we left extremely satisfied, and happy with smiles and praise.  We'll gladly return to Wanjo again and again, just for the Nasi Lemak.  My partner absolutely loved Wanjo!ðŸ‘ðŸ‘ðŸ‘â¤ï¸â¤ï¸â¤ï¸"
Khairul Akmal,a month ago,"Tempat wajib cuba sekali seumur hidup. Nasi lemak cukup rasa, sedap, sambal manis tapi tetap cukup rasa pedas dia tu, lauk mcm biasa ada ayam goreng, sambal kerang, sambal sotong, paru semua ada mintak je. Servis pun laju je korang masuk je â€¦"
Corin Menuge,3 months ago,"It's delicious and you should go here.Very quick service - there will be a queue but it moves in no time.The plates easily make such a balanced meal at a fair price, and it's easy to order various fresh fruit juices at a stall just outside the front door.For only a small surcharge, you can sit indoors in an A/C space.Very easy to get to with the nearby KL Rapid link, or as well to walk in after having a Grab or taxi drop you nearby."
Alvin Lim,9 months ago,"Very nice nasi lemak I must say. Probably even better if enjoying it thereâ€¦ I tapau home ðŸ  Ayam masak Merah was good, rendang beef, all are pretty good. â€¦"
Zulhilmi Ismadi,a year ago,"Nasi lemak berlemak. Queue panjang. So kalau lapar beli la 2 pinggan terus. Portion tak berapa besar. Paru keras sket. Ayam, kerang semua ok. Sambal tak pedas sangat."
Irwan Desyanto,a month ago,"I went to this place by LRT, need to walk for 10 mins from the station...Nasi lemak with rendang and fried egg was so delicious..."
Purple Lady,a month ago,"Nasi lemak okay la but kuantiti sikit tapi service sangat teruk..kami tengah makan satu keluarga with baby and mak I OKU, waiter datang suruh jauhkan meja..alasan bos marah sambung-sambung meja..rude sangat, orang tengah makan kot..takde common sense langsung..will not come again and not recommended to come"
Zack sani,a month ago,The service was quite fast as theres alot of staff to assist you wth your food choiceâ˜ºï¸friendly staff and affordable price tooðŸ‘ðŸ˜Š â€¦
Faye Cheang,a year ago,"Crowded by spacious. Newly renovated and clean. Dropped by to tapau. 2 packs of nasi lemak with sambal kerang, fried chicken and bergedil , total Rm21. Sambal kerang was good but their sambal has burnt smell which I Donâ€™t like. Rice was ok but no peanut."
Chelsi Riordan,8 months ago,"Wow! Fantastic food, incredible staff and clean spot. We were in KL for three days and ate here every single dayâ€”no joke! Definitely a place where locals eat. Both the rendang chicken and beef are excellent. Do not leave here without the potato ball and a mango smoothie."
Umaiyar Ullah,7 months ago,"Excellent place, cheap food, only locals inside and very few tourists! 4 of us ate Nasi lemak and ice teh tarik for Â£14 altogether. 1 ringgit each to sit in an AC room. Overall amazing food, would return"
Farhan Ansari,a week ago,1st place where I tried authentic Malaysian food. The owner Shams came out to help me as he could speak good English and made me try some great dish at his place. Me trying Cotong(squid) was the first time. Great experience.
Maisarah Mokhsein,a year ago,Delicious Nasi Lemak with plenty of side dishes. The paru was crunchy yet still soft and the limpa was delicious. Ayam masak merah portion was big and so was the begedil. Drinks was on the sweeter side so ask for less sugar if you don't like them sweet.
M MM,7 months ago,Definitely one of the best nasi lemak in town. Clean & bright restaurant. A bit warm if come during lunch time in a hot day. Air conditioning dining room available for additional RM 1 per person. Price for nasi lemak & drink was reasonable
Shaleeni Jeevan,a year ago,"Spacious restaurant, divided to air cond and non air cond area. Those who wanna enter air cond area, gotta pay RM1 per head. â€¦"
Umayair Ullah,5 months ago,"Excellent place, cheap food, only locals inside and very few tourists! 4 of us ate Nasi lemak and ice teh tarik for Â£14 altogether. 1 ringgit each to sit in an AC room. Overall amazing food, would return"
Gonny van der Zwaag,7 months ago,"Their mango smoothies are highly recommended! Popular restaurant for locals, specialized in nasi lemak. Not the best Iâ€™ve ever tasted, but itâ€™s good value, and quick."
Daniel W,a year ago,"Updated 9pm Tuesday 13.9.2022: itâ€™s officially packed and popular. Many locals and tourists do eat here. Still one of the best nasi lemak â€œriceâ€ I ever tasted. Love the rich creamy, flavorful and aromatic piping hot rice. â€¦"
December,2 months ago,"The flavour of the food definitely becomintg worse and worse. At one point, even the fried chicken was unflavourful. I used to love coming here for a quick meal and great teh ais. But I wouldnâ€™t repeat my visit after spending RM50 for two â€¦"
Dayana Zuraidi,11 months ago,"Nasi lemak dia sangat rasa santan but sedap aje.. lauk banyak disediakan and kedai pun dalam keadaan yang agak bersih.. sangat friendly staffnya.. staff urus kerja pun nampak efficient.. overall, boleh repeat ðŸ˜ðŸ‘Œ â€¦"
Tim Mohd-Ali,11 months ago,"Joining the hype for Nasilemak Wanjo, Kampung Baru, KL. Our verdict? Worth the senseless long queue, Alhamdulillah. â€¦"
Maslihah,9 months ago,"Will always come and eat here whenever I am at Kampung Baru. The taste has not changed since the first time I ate it long long time ago. I grew up in Kampung Baru, living with nasi lemak wak manjo. The price is competitive but of course it â€¦"
